Modelo,Estrategia,Configuración,N,bmi_explicit_in_note,error_A_knowledge,error_B_extraction,error_C_arithmetic,h_ok,w_ok,bmi_ok_abs,bmi_ok_5p,predijo_bien_all,predijo_bien_bmi,primary_ok,primary_A_knowledge,primary_B_extraction,primary_C_arithmetic,primary_D_other
Phi-3-mini-4k-instruct,v2_estricto,Phi-3-mini-4k-instruct_v2_estricto,20,100.0,0.0,5.0,0.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,5.0,0.0,0.0
Phi-3-mini-4k-instruct,v1_simple,Phi-3-mini-4k-instruct_v1_simple,20,100.0,5.0,5.0,0.0,95.0,95.0,90.0,90.0,90.0,90.0,90.0,5.0,5.0,0.0,0.0
Phi-3-mini-4k-instruct,v3_fewshot,Phi-3-mini-4k-instruct_v3_fewshot,20,100.0,5.0,5.0,0.0,95.0,95.0,90.0,90.0,90.0,90.0,90.0,5.0,5.0,0.0,0.0
Phi-3-mini-4k-instruct,v4_encadenado,Phi-3-mini-4k-instruct_v4_encadenado,20,100.0,0.0,5.0,55.00000000000001,100.0,95.0,40.0,75.0,40.0,40.0,40.0,0.0,5.0,55.00000000000001,0.0
stablelm-zephyr-3b,v2_estricto,stablelm-zephyr-3b_v2_estricto,20,100.0,10.0,45.0,5.0,60.0,60.0,40.0,45.0,40.0,40.0,40.0,10.0,45.0,5.0,0.0
stablelm-zephyr-3b,v1_simple,stablelm-zephyr-3b_v1_simple,20,100.0,60.0,20.0,5.0,30.0,70.0,30.0,35.0,20.0,30.0,20.0,60.0,15.0,5.0,0.0
stablelm-zephyr-3b,v3_fewshot,stablelm-zephyr-3b_v3_fewshot,20,100.0,65.0,20.0,0.0,30.0,70.0,30.0,30.0,20.0,30.0,20.0,65.0,15.0,0.0,0.0
Qwen2.5-0.5B-Instruct,v2_estricto,Qwen2.5-0.5B-Instruct_v2_estricto,20,100.0,95.0,15.0,0.0,5.0,60.0,10.0,10.0,5.0,10.0,5.0,95.0,0.0,0.0,0.0
Qwen2.5-0.5B-Instruct,v1_simple,Qwen2.5-0.5B-Instruct_v1_simple,20,100.0,100.0,5.0,0.0,0.0,25.0,10.0,10.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0
DialoGPT-large,v1_simple,DialoGPT-large_v1_simple,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,v1_simple,CodeLlama-7b-Instruct-hf_v1_simple,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
DialoGPT-large,v2_estricto,DialoGPT-large_v2_estricto,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
DialoGPT-large,v3_fewshot,DialoGPT-large_v3_fewshot,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,v3_fewshot,CodeLlama-7b-Instruct-hf_v3_fewshot,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,v2_estricto,CodeLlama-7b-Instruct-hf_v2_estricto,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Qwen2.5-0.5B-Instruct,v3_fewshot,Qwen2.5-0.5B-Instruct_v3_fewshot,20,100.0,100.0,5.0,0.0,0.0,30.0,10.0,10.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0
CodeLlama-7b-Instruct-hf,v4_encadenado,CodeLlama-7b-Instruct-hf_v4_encadenado,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
DialoGPT-large,v4_encadenado,DialoGPT-large_v4_encadenado,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Qwen2.5-0.5B-Instruct,v4_encadenado,Qwen2.5-0.5B-Instruct_v4_encadenado,20,100.0,85.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,85.0,15.0,0.0,0.0
stablelm-zephyr-3b,v4_encadenado,stablelm-zephyr-3b_v4_encadenado,20,100.0,70.0,60.0,0.0,0.0,45.0,5.0,5.0,0.0,5.0,0.0,70.0,30.0,0.0,0.0
